Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Starting_Salary,Current_Job_Level,Entrepreneurship,
S00041,24,Female,3.64,998,580,2.43,Law,53400,Mid,No,
S00042,21,Female,3.11,1205,14,2.69,Mathematics,56300,Entry,,
S00043,26,Female,2.36,1355,98,3.75,Medicine,38400,1,No,
S00044,20,Male,2.94,1490,279,523,Mathematics,53200,Entry,2500,
S00045,22,Male,3.94,1200,940,3.02,Mathematics,78700,Entry,Yes,
S00046,20,Female,3.51,1098,490,2.96,Engineering,42200,Mid,No,
S00047,24,Male,3.62,1558,985,3.5,Engineering,,Entry,No,
S00048,22,Male,2.07,1387,961,2.56,Engineering,49800,Mid,Yes,
S00049,26,Male,,1005,883,2.44,Business,47900,Mid,Yes,
S00050,24,Male,3.29,1300,759,3.85,Law,52000,Mid,No,
S00051,19,Male,3.66,1376,624,3.14,Computer Science,42000,Senior,No,
S00052,21,Male,2.1,1021,207,2.21,Arts,52100,Senior,No,
S00053,26,Female,3.7,976,864,2.39,Law,64500,Mid,Yes,
S00054,29,Female,3.1,,846,4,Arts,63500,Executive,No,
S00055,19,Male,2.39,1011,233,2.39,Mathematics,67200,Entry,No,
S00056,27,Male,2.63,1581,573,3.22,Law,40600,Senior,Yes,
S00057,200,Female,2.56,1417,597,2.84,Medicine,50900,Entry,No,
S00058,27,Male,3.06,1096,695,3.77,Computer Science,82700,Entry,No,
S00059,22,,2.1,997,239,3.51,Computer Science,35400,Senior,No,
S00060,19,Female,2.32,1358,250,3.19,Business,48300,Entry,No,
S00061,21,Female,3.63,1129,583,2.02,Law,31800,Entry,No,
S00062,29,Male,2.27,1067,740,3.76,Engineering,51600,Entry,No,
S00063,29,Female,100,907,597,2.89,Computer Science,65600,Entry,No,
S00064,24,Male,2.91,1071,306,3.86,Law,75700,Entry,Yes,
S00065,29,Female,3.03,1259,1000,2.99,Engineering,35000,Entry,No,
S00066,25,Female,3.53,,908,3.39,Business,37600,Mid,No,
S00067,20,Male,2.89,1168,463,2.14,Mathematics,73700,Mid,Yes,
S00068,18,Male,3.58,918,783,3.49,Mathematics,25000,Mid,No,
S00069,21,Male,3.24,1253,913,2.68,Law,40400,Entry,No,
S00070,19,Female,2.23,948,802,2.7,Law,64600,Senior,No,
S00071,25,Male,2.31,1363,236,2.24,Medicine,25000,Entry,No,
S00072,21,Female,2.87,1255,291,2.29,Law,34300,Entry,No,
S00073,1000,Male,2.79,1057,39,2.37,Medicine,68900,Senior,No,
S00074,23,Female,3.49,965,998,2.66,Engineering,25000,Mid,No,
S00075,23,Female,3.16,1470,718,3.78,Mathematics,25000,Executive,No,
S00076,234,Female,2.78,1207,183,2.74,Engineering,62600,Entry,No,
S00077,21,Female,2.34,1236,699,3.45,Mathematics,74400,Mid,No,
S00078,23,Male,2.45,1570,645,2.17,Mathematics,71500,Entry,No,
S00079,19,Male,3.15,1020,30,3.18,Computer Science,25000,Senior,Yes,
S00080,27,Female,2.85,1303,388,2.96,Business,71900,Entry,No,
S00081,29,Male,3.03,1546,767,3.96,Medicine,51200,Entry,No,
S00082,19,Male,2.34,1467,143,3.69,Mathematics,37900,Entry,No,
S00083,555,Male,3.33,995,615,2.91,Computer Science,36000,Mid,No,
S00084,21,Male,3.71,1013,419,3.55,Arts,60500,Entry,No,
S00085,25,Male,2.52,1328,74,2.39,,56600,Executive,No,
S00086,24,Female,2.98,1439,55,3.12,Engineering,71100,Senior,No,
S00087,29,Male,3.95,901,962,2.15,Arts,40600,Senior,No,
S00088,26,Female,2.67,1111,748,2.7,Computer Science,42700,Senior,No,
S00089,25,Male,3.19,1479,572,2.45,Law,62100,Senior,No,
S00090,22,Female,2.18,1539,24,3.44,Business,38100,Senior,Yes,
S00091,19,Male,340,high,988,2.98,,62300,Senior,No,
S00092,22,Female,2.18,923,22,3.5,Law,33300,Senior,No,
S00093,25,Female,3.92,1267,428,3.03,Arts,80600,Entry,No,
S00094,27,Male,3.43,1405,32,2.17,Mathematics,79900,Entry,No,
S00095,26,Female,3.58,1075,863,3.47,Business,39000,Mid,Yes,
S00096,29,Other,3.41,1328,339,3.67,Mathematics,50900,Entry,No,
S00097,222,Female,3.18,1341,947,3.81,,51800,Entry,No,
S00098,29,Female,2.9,1447,981,3.14,Law,48000,Mid,No,
S00099,26,Male,3.72,1413,515,3.51,Engineering,35000,Mid,Yes,
S00100,18,Female,3.91,1260,512,3.5,Engineering,51600,Mid,No,
S00101,26,Male,3,1173,70,2.31,Business,27800,Executive,No,
S00102,24,Male,3.86,1076,672,2.33,Engineering,73000,Mid,No,
S00103,26,Other,3.17,1163,898,2.14,Medicine,74000,Entry,No,
S00104,25,Male,3.08,1085,88,2.64,Mathematics,70200,Entry,No,
S00105,18,Female,2.91,1426,877,2.95,Business,71300,Entry,No,
S00106,29,Female,2.42,1178,571,4,Business,61100,Entry,No,
S00107,25,Female,2.01,1097,764,2.86,Engineering,36400,Entry,No,
S00108,25,Other,2.48,1248,219,3.45,Business,30300,Entry,No,
S00109,28,Male,3.02,1320,713,3.39,Computer Science,33900,Senior,Yes,
S00110,20,Male,2.76,1204,589,2.41,Arts,56800,Mid,No,
S00111,18,Male,2.9,963,767,2.12,Law,29900,Mid,No,
S00112,25,Male,3.96,1189,759,3.09,Arts,52600,Senior,Yes,
S00113,20,Male,2.7,917,270,3.4,Mathematics,58300,Entry,No,
S00114,20,Male,2.9,963,819,4,Law,47200,Mid,No,
S00115,18,Female,2.27,1229,651,2.72,Engineering,50600,Entry,No,
S00116,28,Female,2.1,916,78,3.79,Medicine,89100,Senior,Yes,
S00117,22,Male,3.55,1342,592,2.76,Medicine,49500,Entry,No,
S00118,27,Female,3.14,1040,10,3.38,Engineering,56100,Entry,No,
S00119,24,Male,3.52,1207,468,3.2,Mathematics,67600,Entry,No,
S00120,27,Male,2.3,1343,336,2.11,Engineering,63600,Senior,Yes,
S00121,26,Female,3.14,1395,636,2.16,Business,62500,Entry,No,
S00122,29,Female,2.51,1325,186,2.04,Medicine,54100,Senior,No,
S00123,24,Female,2.46,1374,546,2.74,Arts,54200,Entry,No,
S00124,26,Male,2.02,1144,121,3.49,Engineering,25000,Entry,Yes,
S00125,25,Female,2.26,1349,592,2.35,Mathematics,76000,Entry,No,
S00126,29,Female,2.62,1250,718,3.21,Mathematics,41100,Entry,No,
S00127,19,Female,2.23,1498,565,2.58,Arts,63200,Mid,No,
S00128,18,Female,3.97,1060,668,3.59,Law,46500,Mid,No,
S00129,24,Female,2.62,1039,274,3.6,Arts,96700,Entry,Yes,
S00130,24,Female,2.26,1392,410,3.55,Mathematics,37600,Entry,No,
S00131,25,Female,2.4,1487,358,3.05,Medicine,85500,Entry,No,
S00132,22,Other,3.18,1430,647,2.57,Law,48100,Entry,No,
S00133,20,Female,2.13,1292,941,3.62,Arts,61000,Entry,No,
S00134,29,Male,3.72,1300,98,2.37,Business,50300,Mid,No,
S00135,25,Female,3.92,949,241,2.58,Business,73800,Entry,Yes,
S00136,23,Male,2.49,1194,557,2.37,Medicine,52000,Mid,No,
S00137,28,Male,2.9,1324,711,3.35,Business,54800,Mid,No,
S00138,20,Female,2.04,911,993,3.37,Engineering,51500,Entry,Yes,
S00139,18,Female,3.28,1234,803,3.31,Law,58500,Entry,Yes,
S00140,20,Female,2.83,914,948,2.83,Medicine,36100,Senior,No,
S00141,22,Male,2.54,927,114,2.2,Law,25000,Entry,Yes,
S00142,20,Female,2.41,1287,487,3.82,Mathematics,56900,Senior,No,
S00143,18,Male,3.31,1191,789,3.02,Arts,82000,Mid,No,
S00144,22,Other,2.83,1149,241,2.81,Engineering,43800,Mid,No,
S00145,27,Other,2.36,1404,156,3.18,Medicine,61500,Mid,Yes,
S00146,24,Female,3.38,997,352,2.39,Arts,27800,Entry,No,
S00147,24,Female,3.13,1236,44,2.27,Arts,41700,Entry,No,
S00148,28,Female,3.72,938,592,2.81,Arts,50700,Senior,No,
S00149,26,Female,2.23,937,312,2.45,Arts,49600,Mid,No,
S00150,27,Male,3.57,1199,138,2.49,Arts,66800,Mid,No,
S00151,27,Male,3.35,1078,663,3.79,Medicine,25000,Entry,No,
S00152,29,Female,2.23,1508,944,3.06,Business,47500,Entry,No,
S00153,20,Female,3.39,1368,436,2.97,Arts,40600,Senior,No,
S00154,24,Male,2.88,1181,754,3.38,Mathematics,36300,Entry,No,
S00155,18,Female,3.89,1063,143,3.9,Mathematics,39000,Senior,Yes,
S00156,21,Male,2.28,1352,823,2.22,Engineering,54100,Entry,No,
S00157,21,Female,3.29,996,299,3.67,Medicine,52200,Mid,Yes,
S00158,22,Female,2.76,1208,562,3.17,Computer Science,47100,Entry,Yes,
S00159,24,Female,3.91,1161,262,2.29,Business,29700,Mid,No,
S00160,24,Female,2.66,1192,512,2.59,Engineering,46000,Entry,No,
S00161,28,Male,3.92,1148,673,2.96,Mathematics,66900,Mid,No,
S00162,21,Male,3.8,1144,62,3.38,Arts,25400,Senior,No,
S00163,24,Female,2.54,1150,567,2.49,Medicine,39300,Entry,Yes,
S00164,28,Female,3.61,1022,423,3.07,Medicine,32800,Entry,No,
S00165,20,Male,3.99,1224,396,3.37,Arts,33400,Entry,No,
S00166,23,Female,2.51,1580,884,2.9,Mathematics,46400,Mid,No,
S00167,29,Male,2.87,1400,996,3.73,Engineering,40400,Entry,No,
S00168,19,Female,3.04,1586,31,3.74,Medicine,37100,Entry,No,
S00169,27,Female,2.59,965,330,2.94,Law,50300,Entry,No,
S00170,26,Male,2.03,958,949,3.95,Mathematics,26500,Entry,Yes,
S00171,22,Male,2.44,1397,802,2.15,Mathematics,79900,Entry,No,
S00172,23,Female,2.56,1272,169,2.01,Business,41500,Entry,No,
S00173,29,Female,2.89,1165,266,2.76,Engineering,44400,Entry,No,
S00174,29,Female,2.34,1552,308,3.2,Mathematics,44900,Entry,No,
S00175,29,Female,3.75,1135,459,3.26,Arts,35500,Mid,No,
S00176,29,Female,3.41,1117,185,2.95,Mathematics,68800,Entry,No,
S00177,21,Other,2.17,1426,334,2.25,Engineering,53900,Entry,No,
S00178,28,Female,3.3,1340,515,2.34,Law,25000,Mid,No,
S00179,27,Female,3.31,1549,441,3.7,Mathematics,31400,Mid,No,
S00180,24,Male,3.91,1305,673,3.74,Engineering,40300,Entry,No,
S00181,29,Male,2.01,1500,391,3.35,Mathematics,59500,Mid,No,
S00182,26,Female,2.5,1488,772,3.33,Computer Science,67900,Executive,No,
S00183,24,Male,3.86,1547,935,3.2,Arts,48000,Executive,No,
S00184,18,Female,3.86,1368,560,2.41,Business,73800,Mid,Yes,
S00185,18,Female,3.44,1009,254,2.86,Arts,61600,Entry,Yes,
S00186,26,Female,3.53,1252,586,3.39,Computer Science,82200,Entry,No,
S00187,28,Male,2.18,990,335,3.07,Arts,41600,Entry,No,
S00188,26,Male,3.03,1313,400,2.04,Arts,43900,Entry,No,
S00189,21,Male,2.46,972,166,3.91,Business,53200,Senior,No,
S00190,26,Male,2.36,1584,260,3.69,Computer Science,38900,Entry,No,
S00191,20,Male,3.62,1446,4,2.52,Arts,61700,Mid,No,
S00192,24,Female,2.27,1197,888,3.23,Law,31500,Entry,No,
S00193,23,Female,2.94,1544,119,3.85,Mathematics,27800,Entry,No,
S00194,25,Female,3.88,1182,996,2.19,Arts,49200,Executive,No,
S00195,28,Female,2.37,1404,923,3.01,Medicine,72200,Entry,No,
S00196,26,Male,3.96,1097,470,2.91,Arts,57400,Entry,Yes,
S00197,22,Female,3.99,931,470,2.82,Business,62200,Mid,No,
S00198,18,Female,3.11,1547,785,3.67,Medicine,75000,Mid,Yes,
S00199,20,Male,2.34,1240,493,2.76,Law,56500,Entry,Yes,
S00200,27,Female,2.63,1557,738,2.13,Mathematics,44800,Mid,No,
S00201,29,Male,2.85,1233,864,2.13,Law,71800,Entry,No,
S00202,25,Female,2.62,1042,500,2.09,Law,64500,Entry,No,
S00203,28,Other,2.56,1309,70,2.82,Computer Science,39000,Entry,No,
S00204,23,Male,3.94,943,694,3.44,Law,37300,Mid,Yes,
S00205,25,Female,2.31,931,865,2.41,Engineering,49200,Entry,Yes,
S00206,26,Female,3.47,927,776,3.29,Business,63500,Senior,No,
S00207,21,Other,2,1322,370,3.37,Computer Science,35400,Mid,No,
S00208,18,Male,3.19,1390,181,2.51,Medicine,52000,Senior,No,
S00209,18,Female,3.83,1059,996,3.2,Engineering,63600,Mid,No,
S00210,27,Male,2.58,1106,5,3.37,Computer Science,46300,Entry,No,
S00211,21,Male,2.37,917,197,2.93,Business,54200,Entry,No,
S00212,29,Male,3.3,1002,47,2.67,Medicine,57300,Mid,No,
S00213,24,Other,3.43,1481,970,3.24,Business,61300,Entry,No,
S00214,19,Female,3.38,1530,552,3.96,Business,51200,Mid,No,
S00215,20,Female,2.64,1550,634,2.85,Medicine,48100,Entry,No,
S00216,18,Female,2.5,1571,647,2.78,Law,65200,Mid,No,
S00217,22,Male,3.91,1131,140,2.93,Arts,25000,Senior,No,
S00218,18,Male,3.85,1559,862,2.15,Business,62900,Entry,No,
S00219,25,Male,2.91,1323,665,3.11,Law,58800,Mid,No,
S00220,18,Male,3.69,1446,540,2.66,Mathematics,72900,Entry,No,
S00221,28,Male,2.9,1138,427,2.24,Medicine,58600,Entry,No,
S00222,18,Male,2.85,1233,589,2.93,Business,34400,Entry,No,
S00223,19,Male,2.31,1048,687,2.01,Arts,51500,Entry,No,
S00224,19,Male,2.85,1522,561,2.8,Mathematics,35300,Mid,No,
S00225,29,Male,3.07,1307,854,2.21,Medicine,67200,Mid,No,
S00226,23,Male,2.05,916,310,2.05,Computer Science,25000,Entry,No,
S00227,24,Other,2.89,1125,274,3.65,Computer Science,26000,Entry,No,
S00228,22,Female,3.56,1551,539,3.83,Law,32000,Entry,No,
S00229,18,Other,3.36,1555,840,2.42,Computer Science,25600,Executive,No,
S00230,18,Male,3.27,1159,390,3.08,Engineering,45100,Mid,No,
S00231,20,Male,3.82,1573,459,2.56,Business,43700,Senior,Yes,
S00232,19,Female,2.04,1503,733,2.99,Business,62400,Mid,No,
S00233,22,Male,3.11,1073,634,2.87,Medicine,25000,Entry,No,
S00234,29,Male,3.57,1104,361,2.54,Engineering,42000,Mid,Yes,
S00235,27,Male,3.08,1314,69,3.4,Business,53900,Mid,No,
S00236,23,Male,2.65,1407,583,2.25,Medicine,36000,Entry,Yes,
S00237,24,Male,2.27,1052,662,2.11,Arts,25200,Entry,No,
S00238,21,Male,3.78,1002,699,3.54,Business,60600,Mid,No,
S00239,24,Female,2.94,964,431,3.33,Law,58500,Mid,No,
S00240,28,Male,3.76,1016,885,3,Business,25000,Entry,No,
S00241,25,Male,3.17,1564,758,2.94,Arts,43600,Senior,No,
S00242,28,Female,3.35,1055,708,2.99,Arts,40800,Mid,No,
S00243,18,Male,3.61,1575,32,2.87,Business,77200,Mid,No,
S00244,23,Male,3.32,981,979,2.79,Arts,25000,Mid,No,
S00245,25,Female,2.8,1417,621,3,Medicine,43300,Entry,Yes,
S00246,22,Male,3.03,966,865,3.06,Business,61400,Senior,No,
S00247,21,Male,3.61,1137,513,3.38,Business,48200,Entry,No,
S00248,19,Female,2.75,1483,182,3.42,Computer Science,66100,Entry,No,
S00249,23,Male,2.78,1506,686,2.76,Law,25000,Senior,No,
S00250,23,Female,2.19,1225,681,2.83,Business,30700,Entry,No,
S00251,28,Female,3.83,1489,248,2.75,Mathematics,45300,Senior,Yes,
S00252,18,Male,2.18,966,620,3.07,Computer Science,57300,Entry,No,
S00253,26,Female,3.3,1075,882,2.91,Arts,50100,Mid,No,
S00254,29,Female,2.83,1583,297,3.78,Law,59200,Entry,Yes,
S00255,28,Male,2.81,1377,776,3.39,Law,44900,Mid,No,
S00256,23,Female,3.36,1154,928,3.8,Arts,30400,Entry,No,
S00257,20,Male,2.13,962,30,3.42,Medicine,58300,Senior,No,
S00258,21,Female,3.19,1302,302,3.94,Computer Science,27000,Entry,No,
S00259,29,Male,3.54,1091,476,3.27,Business,35500,Entry,No,
S00260,28,Male,3.66,1228,873,3.93,Computer Science,29500,Entry,No,
S00261,21,Male,2.34,970,948,2.32,Arts,52700,Executive,No,
S00262,20,Female,3.79,962,352,2.1,Arts,48800,Senior,No,
S00263,27,Male,3.31,1196,985,3.16,Mathematics,32900,Entry,No,
S00264,20,Male,3.76,1144,482,3.97,Medicine,38100,Senior,No,
S00265,20,Male,2.97,1418,317,2.84,Law,44700,Senior,Yes,
S00266,21,Female,3.08,1292,737,2.42,Law,59500,Mid,Yes,
S00267,24,Female,3.84,1500,397,3.04,Arts,50400,Entry,No,
S00268,21,Female,3.8,1076,89,3.3,Computer Science,54300,Entry,No,
S00269,26,Female,2.9,1103,234,2.63,Law,56500,Entry,No,
S00270,18,Female,2.55,1545,168,3.43,Mathematics,49700,Entry,No,
S00271,25,Male,2.79,1493,743,3.95,Mathematics,53200,Senior,No,
S00272,24,Female,2.78,1432,126,3.79,Business,47900,Entry,No,
S00273,19,Female,2.57,1027,573,2.58,Business,72100,Senior,No,
S00274,25,Other,2.54,1094,120,2.65,Computer Science,57900,Senior,Yes,
S00275,18,Female,3.72,1093,428,2.74,Medicine,77500,Senior,No,
S00276,28,Male,2.14,1083,190,2.79,Business,69000,Mid,No,
S00277,29,Male,3.36,1146,633,2.2,Computer Science,47000,Mid,No,
S00278,26,Female,2.35,1223,428,3.52,Computer Science,47000,Senior,No,
S00279,26,Female,2.69,1059,560,2.73,Arts,25100,Entry,No,
S00280,19,Female,2.12,1521,202,3.76,Law,33400,Mid,No,
S00281,24,Female,2.54,965,59,3.85,Arts,65100,Mid,No,
S00282,27,Female,3.54,1153,697,2.05,Law,64400,Entry,No,
S00283,20,Male,3.77,1182,223,3.98,Medicine,25000,Mid,Yes,
S00284,24,Female,2.44,959,492,3.42,Medicine,69700,Entry,No,
S00285,29,Male,2.93,1017,11,3.04,Medicine,67800,Senior,No,
S00286,27,Male,2.94,1322,793,2.78,Computer Science,66800,Mid,No,
S00287,26,Male,3.75,1455,701,3.04,Computer Science,57700,Mid,Yes,
S00288,21,Female,3.53,935,512,2.65,Arts,57600,Mid,No,
S00289,29,Male,3.03,1430,814,3.25,Business,47200,Entry,No,
S00290,18,Male,3.34,990,310,2.19,Mathematics,40500,Mid,No,
S00291,19,Female,3.69,1200,749,3.24,Law,67000,Mid,No,
S00292,18,Male,2.02,1116,34,2.55,Law,46100,Entry,No,
S00293,29,Female,2.81,997,340,2.04,Medicine,25000,Entry,Yes,
S00294,22,Female,3.81,1355,647,3.11,Law,59300,Senior,Yes,
S00295,22,Female,3.48,1430,481,3.16,Engineering,34200,Mid,No,
S00296,28,Female,3.09,1437,574,2.85,Medicine,52300,Mid,Yes,
S00297,24,Male,3.06,927,825,2.14,Mathematics,74900,Entry,No,
S00298,26,Female,2.7,1475,739,3.79,Law,81500,Mid,Yes,
S00299,26,Male,3.04,1223,93,3.22,Arts,60400,Mid,No,
S00300,20,Female,3.31,1122,628,2.23,Law,69700,Entry,No,
S00301,20,Male,2.84,979,844,3.02,Computer Science,61200,Entry,No,
S00302,20,Female,3.43,1462,133,2.99,Arts,62100,Entry,No,
S00303,21,Male,3.72,1357,844,2.12,Arts,63800,Mid,Yes,
S00304,25,Male,2.31,1513,989,3.21,Arts,34000,Mid,No,
S00305,23,Male,2.9,1075,419,3.62,Engineering,30800,Entry,No,
S00306,25,Male,2.82,1421,468,3.5,Engineering,65200,Entry,No,
S00307,18,Female,3.37,1356,805,2.41,Law,54600,Mid,Yes,
S00308,25,Male,2.5,1322,444,3.72,Medicine,52400,Entry,No,
S00309,21,Female,3.28,999,705,2.69,Law,42900,Entry,No,
S00310,28,Other,3.75,1302,912,3.89,Law,44600,Mid,No,
S00311,18,Female,2.84,1475,30,2.14,Law,68900,Mid,Yes,
S00312,25,Male,3.82,1279,969,2.97,Mathematics,37300,Mid,No,
S00313,21,Male,3.99,1430,298,3.19,Computer Science,50200,Mid,No,
S00314,23,Female,2.21,1231,61,2.5,Arts,38200,Mid,No,
S00315,25,Male,2.47,1217,458,3.54,Business,26700,Senior,No,
S00316,21,Male,3.9,1552,973,3.25,Mathematics,51600,Senior,No,
S00317,20,Female,3.92,1436,304,2.04,Medicine,61100,Mid,Yes,
S00318,26,Female,2.2,988,958,3.22,Medicine,34100,Mid,Yes,
S00319,20,Female,2.03,1503,340,2.98,Arts,39300,Executive,Yes,
S00320,26,Male,2.32,1410,861,2.39,Medicine,32200,Entry,No,
S00321,19,Female,3.99,941,448,3.99,Arts,52000,Entry,No,
S00322,19,Male,2.36,1288,953,3.79,Medicine,42700,Senior,No,
S00323,19,Male,3.01,980,836,2.59,Law,25000,Senior,Yes,
S00324,23,Female,3.7,1301,302,3.08,Computer Science,44700,Senior,No,
S00325,20,Male,2.04,1006,881,2.63,Mathematics,65600,Senior,Yes,
S00326,26,Male,3.21,1010,540,3.55,Mathematics,67400,Entry,No,
S00327,21,Male,2.55,1176,485,3.86,Medicine,68100,Senior,No,
S00328,18,Female,3.72,1113,77,2.72,Mathematics,35100,Entry,Yes,
S00329,21,Female,2.57,1405,633,3.61,Medicine,32200,Senior,No,
S00330,18,Female,3.37,1020,515,3,Business,40300,Mid,No,
S00331,22,Female,3.35,1033,549,2.79,Mathematics,64600,Entry,No,
S00332,21,Male,2.44,1270,944,3.88,Computer Science,64100,Mid,No,
S00333,25,Male,2.07,1156,659,3.02,Mathematics,50000,Entry,No,
S00334,25,Male,2.82,1596,92,2.93,Law,66800,Entry,No,
S00335,24,Male,2.58,1079,851,3.34,Computer Science,59100,Entry,No,
S00336,20,Female,3.62,947,785,2.52,Mathematics,42800,Entry,No,
S00337,18,Female,3.6,1498,466,2.65,Computer Science,44800,Mid,No,
S00338,18,Male,2.91,918,466,3.86,Mathematics,31000,Entry,No,
S00339,29,Male,3.21,945,889,3.36,Medicine,48100,Executive,No,
S00340,28,Male,3.21,1350,599,3.65,Engineering,40900,Entry,No,
S00341,20,Male,3.65,955,40,2.54,Medicine,35000,Senior,No,
S00342,23,Female,2.85,1556,690,3.09,Arts,39000,Executive,Yes,
S00343,24,Male,2.55,991,329,3.94,Mathematics,72400,Entry,Yes,
S00344,23,Male,2.53,981,285,2.64,Business,43100,Entry,No,
S00345,23,Female,3.07,978,947,2.32,Computer Science,73700,Entry,No,
S00346,23,Male,2.9,1561,554,3.02,Arts,50900,Senior,No,
S00347,20,Female,2.88,1182,797,2.78,Law,46600,Senior,No,
S00348,23,Male,2.18,1210,66,2.32,Arts,57800,Entry,No,
S00349,25,Female,3.44,1059,636,3.78,Engineering,25000,Entry,Yes,
S00350,28,Other,2.43,1215,657,3.98,Mathematics,81200,Senior,No,
S00351,28,Female,2.39,1567,632,3.14,Computer Science,64300,Mid,No,
S00352,19,Male,2.83,1055,109,3.55,Medicine,53100,Entry,No,
S00353,22,Female,2.46,1367,415,3.72,Computer Science,62200,Senior,No,
S00354,18,Male,3.17,1361,92,3.4,Business,50800,Executive,Yes,
S00355,29,Male,2.74,1016,368,2.09,Computer Science,40900,Entry,No,
S00356,18,Male,2.9,1565,820,2.32,Arts,49600,Entry,No,
S00357,22,Male,3.07,1263,423,2.14,Arts,43700,Senior,No,
S00358,29,Female,2.41,1530,572,2.02,Medicine,36500,Mid,No,
S00359,20,Female,2.31,1365,862,2.61,Medicine,44100,Executive,Yes,
S00360,21,Female,3.76,1083,739,2.78,Medicine,53200,Senior,Yes,
S00361,20,Female,2.87,1559,240,2.48,Law,55300,Entry,Yes,
S00362,18,Female,2.82,1065,435,2.13,Mathematics,71200,Mid,Yes,
S00363,18,Male,2.07,974,212,3.06,Business,45400,Mid,No,
S00364,29,Male,3,1171,400,2.55,Law,39400,Entry,No,
S00365,29,Female,3.11,1590,610,3.59,Law,31100,Entry,Yes,
S00366,22,Male,3.12,1402,526,2.02,Law,56600,Mid,No,
S00367,23,Female,3.41,1462,730,3.69,Computer Science,71900,Entry,No,
S00368,20,Male,2.35,1486,468,3.91,Engineering,44100,Mid,Yes,
S00369,29,Male,2.5,1555,170,3.43,Mathematics,41600,Entry,No,
S00370,26,Male,3.62,1242,819,3.47,Computer Science,63000,Mid,No,
S00371,22,Male,3.89,1599,792,3.87,Medicine,34000,Entry,No,
S00372,25,Male,2.27,1534,875,2.42,Business,74300,Senior,No,
S00373,18,Female,3,1150,210,3.99,Law,48900,Entry,Yes,
S00374,22,Male,2.43,1029,256,3.55,Computer Science,55600,Senior,No,
S00375,20,Female,2.12,1257,683,3.45,Mathematics,50600,Entry,No,
S00376,29,Male,2.65,1591,73,2.72,Arts,25000,Mid,No,
S00377,18,Male,2.29,1307,147,3.09,Mathematics,49000,Entry,No,
S00378,21,Male,3.42,1394,340,3.31,Law,44300,Senior,No,
